candidate_id,rank,score,reasoning
CAND_0086154,1,0.8800,"Data Scientist with 6.8 years of experience based in Ahmedabad, Gujarat. Demonstrates strong production skills in OpenSearch. High availability with a recruiter response rate of 90%."
CAND_0078042,2,0.8400,"Applied ML Engineer with 4.7 years of experience based in Dubai. Demonstrates strong production skills in OpenSearch, Sentence Transformers. High availability with a recruiter response rate of 91%."
CAND_0043312,3,0.8300,"AI Research Engineer with 4.2 years of experience based in Noida, Uttar Pradesh. Demonstrates strong production skills in pgvector. High availability with a recruiter response rate of 73%."
CAND_0005269,4,0.8100,"Senior Software Engineer (ML) with 6.1 years of experience based in Kochi, Kerala. Demonstrates strong production skills in Information Retrieval, Hugging Face Transformers. High availability with a recruiter response rate of 28%."
CAND_0060835,5,0.8100,"Senior Software Engineer (ML) with 6.6 years of experience based in Bangalore, Karnataka. Demonstrates strong production skills in Sentence Transformers, Embeddings. High availability with a recruiter response rate of 32%."
CAND_0029367,6,0.8000,"Senior Data Scientist with 5.7 years of experience based in Bangalore, Karnataka. Demonstrates strong production skills in Sentence Transformers, NLP. High availability with a recruiter response rate of 77%."
CAND_0047907,7,0.7900,"AI Research Engineer with 6.6 years of experience based in Pune, Maharashtra. Demonstrates strong production skills in OpenSearch, NLP. High availability with a recruiter response rate of 48%."
CAND_0083852,8,0.7900,"Data Scientist with 6.0 years of experience based in Ahmedabad, Gujarat. Demonstrates strong production skills in pgvector, Information Retrieval. High availability with a recruiter response rate of 85%."
CAND_0096142,9,0.7900,"Applied ML Engineer with 5.0 years of experience based in Hyderabad, Telangana. Demonstrates strong production skills in NLP, Hugging Face Transformers. High availability with a recruiter response rate of 84%."
CAND_0017918,10,0.7800,"ML Engineer with 3.2 years of experience based in Bangalore, Karnataka. Demonstrates strong production skills in LLMs, Elasticsearch. High availability with a recruiter response rate of 67%."
CAND_0020708,11,0.7800,"Search Engineer with 4.2 years of experience based in Indore, Madhya Pradesh. Demonstrates strong production skills in NLP, Elasticsearch. High availability with a recruiter response rate of 84%."
CAND_0068932,12,0.7800,"ML Engineer with 5.2 years of experience based in Noida, Uttar Pradesh. Demonstrates strong production skills in OpenSearch. High availability with a recruiter response rate of 82%."
CAND_0028793,13,0.7600,"Search Engineer with 7.2 years of experience based in Trivandrum, Kerala. Demonstrates strong production skills in Embeddings, Information Retrieval. High availability with a recruiter response rate of 57%."
CAND_0001126,14,0.7500,"Junior ML Engineer with 4.9 years of experience based in Indore, Madhya Pradesh. Demonstrates strong production skills in NLP, OpenSearch. High availability with a recruiter response rate of 82%."
CAND_0016432,15,0.7500,"AI Research Engineer with 4.6 years of experience based in Gurgaon, Haryana. Demonstrates strong production skills in NLP, Hugging Face Transformers. High availability with a recruiter response rate of 60%."
CAND_0019480,16,0.7500,"NLP Engineer with 2.8 years of experience based in Chennai, Tamil Nadu. Demonstrates strong production skills in LLMs, OpenSearch. High availability with a recruiter response rate of 87%."
